name,classification,council,distance,division
בארי,ליבה,אשכול,0-4,צפונית
גברעם,ליבה,חוף אשקלון,4-7,צפונית
זיקים,ליבה,חוף אשקלון,0-4,צפונית
יד מרדכי,ליבה,חוף אשקלון,0-4,צפונית
כרמיה,ליבה,חוף אשקלון,0-4,צפונית
מבקיעים,ליבה,חוף אשקלון,4-7,צפונית
נתיב העשרה,ליבה,חוף אשקלון,0-4,צפונית
בית הגדי,סמוך,שדות נגב,7+,צפונית
גבעולים,סמוך,שדות נגב,7+,צפונית
זמרת,ליבה,שדות נגב,4-7,צפונית
זרועה,ליבה,שדות נגב,7+,צפונית
יושיביה,סמוך,שדות נגב,7+,צפונית
כפר מימון,ליבה,שדות נגב,4-7,צפונית
מלילות,סמוך,שדות נגב,7+,צפונית
מעגלים,,שדות נגב,7+,צפונית
סעד,ליבה,שדות נגב,0-4,צפונית
עלומים,ליבה,שדות נגב,0-4,צפונית
שובה,ליבה,שדות נגב,4-7,צפונית
שוקדה,ליבה,שדות נגב,4-7,צפונית
שיבולים,סמוך,שדות נגב,7+,צפונית
שרשרת,סמוך,שדות נגב,7+,צפונית
תושיה,ליבה,שדות נגב,4-7,צפונית
תקומה,ליבה,שדות נגב,4-7,צפונית
שדרות,סמוך,שדרות,0-4,צפונית
אור הנר,ליבה,שער הנגב,0-4,צפונית
איבים,ליבה,שער הנגב,0-4,צפונית
ארז,ליבה,שער הנגב,0-4,צפונית
ברור חיל,סמוך,שער הנגב,7+,צפונית
גבים,ליבה,שער הנגב,0-4,צפונית
דורות,סמוך,שער הנגב,7+,צפונית
יכיני,ליבה,שער הנגב,4-7,צפונית
כפר עזה,ליבה,שער הנגב,0-4,צפונית
מפלסים,ליבה,שער הנגב,0-4,צפונית
נחל עוז,ליבה,שער הנגב,0-4,צפונית
ניר עם,ליבה,שער הנגב,0-4,צפונית
רוחמה,סמוך,שער הנגב,7+,צפונית
אבשלום,ליבה,אשכול,0-4,דרומית
אוהד,ליבה,אשכול,7+,דרומית
אורים,סמוך,אשכול,7+,דרומית
בני נצרים,ליבה קדמי,אשכול,4-7,דרומית
גבולות,סמוך,אשכול,7+,דרומית
דקל,ליבה,אשכול,4-7,דרומית
חולית,ליבה קדמי,אשכול,0-4,דרומית
יבול,ליבה,אשכול,4-7,דרומית
ישע,ליבה,אשכול,4-7,דרומית
יתד,ליבה,אשכול,4-7,דרומית
כסופים,ליבה קדמי,אשכול,0-4,דרומית
כרם שלום,ליבה קדמי,אשכול,0-4,דרומית
מבטחים,ליבה,אשכול,7+,דרומית
מגן,ליבה קדמי,אשכול,0-4,דרומית
נווה,ליבה קדמי,אשכול,4-7,דרומית
ניר יצחק,ליבה קדמי,אשכול,0-4,דרומית
ניר עוז,ליבה קדמי,אשכול,0-4,דרומית
נירים,ליבה קדמי,אשכול,0-4,דרומית
סופה,ליבה קדמי,אשכול,0-4,דרומית
עין הבשור,ליבה,אשכול,4-7,דרומית
עין השלושה,ליבה קדמי,אשכול,0-4,דרומית
עמי עוז,ליבה,אשכול,4-7,דרומית
פרי גן,ליבה,אשכול,4-7,דרומית
צאלים,סמוך,אשכול,7+,דרומית
צוחר,ליבה,אשכול,4-7,דרומית
רעים,ליבה קדמי,אשכול,4-7,דרומית
שדה ניצן,ליבה,אשכול,7+,דרומית
שדי אברהם,ליבה,אשכול,4-7,דרומית
שלומית,ליבה קדמי,אשכול,4-7,דרומית
תלמי אליהו,ליבה,אשכול,7+,דרומית
תלמי יוסף,ליבה,אשכול,0-4,דרומית
